CaseID,Activity,CompleteTimestamp
1,a1,2016-01-01 09:51:15
1,a2,2016-01-01 09:51:15
1,a3,2016-01-01 09:52:36
1,a4,2016-01-02 11:23:04
1,a5,2016-01-02 11:29:03
1,a6,2016-01-02 11:29:05
1,a7,2016-01-02 11:30:28
1,a8,2016-01-02 11:30:28
1,a9,2016-01-13 13:10:55
1,a10,2016-01-13 13:11:03
1,a11,2016-01-14 09:16:20
1,a9,2016-01-14 13:39:51
1,a12,2016-01-14 15:49:11
1,a13,2016-01-14 15:49:11
2,a1,2016-01-01 10:16:11
2,a2,2016-01-01 10:16:11
2,a3,2016-01-01 10:17:31
2,a4,2016-01-02 10:59:44
2,a5,2016-01-02 11:02:38
2,a6,2016-01-02 11:02:40
2,a7,2016-01-02 11:03:05
2,a14,2016-01-02 11:03:05
2,a8,2016-01-02 11:03:05
2,a9,2016-01-07 09:40:09
2,a15,2016-01-07 13:29:49
2,a16,2016-01-07 13:29:49
2,a17,2016-01-07 13:29:49
3,a1,2016-01-01 11:19:38
3,a2,2016-01-01 11:19:38
3,a3,2016-01-01 11:20:37
3,a4,2016-01-02 11:02:44
3,a5,2016-01-02 11:05:15
3,a6,2016-01-02 11:05:17
3,a7,2016-01-02 11:06:53
3,a14,2016-01-02 11:06:53
3,a8,2016-01-02 11:06:53
3,a5,2016-01-02 11:25:44
3,a6,2016-01-02 11:25:45
3,a18,2016-01-02 11:26:06
3,a7,2016-01-02 11:26:19
3,a9,2016-01-13 08:57:22
3,a10,2016-01-13 09:08:14
3,a11,2016-01-13 12:19:05
3,a9,2016-01-13 16:01:21
3,a12,2016-01-14 07:00:14
3,a13,2016-01-14 07:00:14
4,a1,2016-01-01 12:34:53
4,a2,2016-01-01 12:34:53
4,a19,2016-01-02 09:06:04
4,a3,2016-01-02 09:06:04
4,a4,2016-01-04 17:15:59
4,a5,2016-01-04 17:19:15
4,a6,2016-01-04 17:19:17
4,a7,2016-01-04 17:23:02
4,a14,2016-01-04 17:23:02
4,a8,2016-01-04 17:23:02
4,a5,2016-01-09 09:48:22
4,a6,2016-01-09 09:48:23
4,a7,2016-01-09 09:48:33
4,a9,2016-01-25 13:37:29
4,a10,2016-01-25 13:37:59
4,a11,2016-01-26 08:42:09
4,a9,2016-01-27 10:57:57
4,a17,2016-01-28 09:18:39
4,a11,2016-01-28 09:18:39
4,a9,2016-01-28 11:56:13
4,a12,2016-01-28 12:18:51
4,a13,2016-01-28 12:18:51
4,a17,2016-01-28 12:18:51
4,a18,2016-01-28 12:18:51
5,a1,2016-01-01 13:00:04
5,a2,2016-01-01 13:00:04
5,a3,2016-01-01 13:01:44
5,a4,2016-01-02 11:40:45
5,a5,2016-01-02 11:42:23
5,a6,2016-01-02 11:42:25
5,a7,2016-01-02 11:43:56
5,a14,2016-01-02 11:43:56
5,a8,2016-01-02 11:43:56
5,a20,2016-02-02 07:00:20
5,a18,2016-02-02 07:00:20
6,a1,2016-01-01 13:05:19
6,a2,2016-01-01 13:05:19
6,a3,2016-01-01 13:06:26
6,a4,2016-01-02 11:40:28
6,a5,2016-01-02 11:43:26
6,a6,2016-01-02 11:43:27
6,a7,2016-01-02 11:45:11
6,a14,2016-01-02 11:45:11
6,a8,2016-01-02 11:45:11
6,a5,2016-01-29 09:35:42
6,a6,2016-01-29 09:35:44
6,a7,2016-01-29 09:35:55
6,a20,2016-02-29 07:00:48
6,a18,2016-02-29 07:00:48
6,a18,2016-02-29 07:00:48
7,a1,2016-01-01 13:22:19
7,a2,2016-01-01 13:22:19
7,a3,2016-01-01 13:23:29
7,a4,2016-01-02 13:35:32
7,a5,2016-01-02 13:38:19
7,a6,2016-01-02 13:38:20
7,a7,2016-01-02 13:38:31
7,a8,2016-01-02 13:38:31
7,a9,2016-01-08 09:21:20
7,a10,2016-01-08 09:21:27
7,a11,2016-01-08 12:46:40
7,a20,2016-01-09 15:48:53
7,a18,2016-01-09 15:48:53
8,a1,2016-01-01 13:35:26
8,a2,2016-01-01 13:35:26
8,a3,2016-01-01 13:36:31
8,a4,2016-01-02 13:59:27
8,a5,2016-01-02 13:59:59
8,a6,2016-01-02 14:00:01
8,a7,2016-01-02 14:00:19
8,a14,2016-01-02 14:00:19
8,a8,2016-01-02 14:00:20
8,a9,2016-01-08 10:08:50
8,a10,2016-01-08 10:09:09
8,a15,2016-01-11 09:30:52
8,a16,2016-01-11 09:30:52
8,a17,2016-01-11 09:30:53
9,a1,2016-01-01 14:13:16
9,a2,2016-01-01 14:13:16
9,a3,2016-01-01 14:14:33
9,a4,2016-01-02 14:32:24
9,a5,2016-01-02 14:41:07
9,a6,2016-01-02 14:41:09
9,a7,2016-01-02 14:44:54
9,a14,2016-01-02 14:44:54
9,a8,2016-01-02 14:44:54
9,a9,2016-01-11 10:05:55
9,a10,2016-01-11 10:07:25
9,a11,2016-01-12 10:00:09
9,a12,2016-01-22 08:03:30
9,a13,2016-01-22 08:03:30
10,a1,2016-01-01 14:23:21
10,a2,2016-01-01 14:23:21
10,a3,2016-01-01 14:24:54
10,a4,2016-01-02 15:48:12
10,a5,2016-01-02 15:50:34
10,a6,2016-01-02 15:50:35
10,a7,2016-01-02 15:50:48
10,a8,2016-01-02 15:50:48
10,a20,2016-02-02 07:00:34
10,a18,2016-02-02 07:00:34
11,a1,2016-01-01 14:42:36
11,a2,2016-01-01 14:42:36
11,a3,2016-01-01 14:43:30
11,a4,2016-01-04 15:44:35
11,a5,2016-01-04 15:52:37
11,a6,2016-01-04 15:52:38
11,a7,2016-01-04 15:53:48
11,a14,2016-01-04 15:53:48
11,a8,2016-01-04 15:53:48
11,a9,2016-01-26 10:44:37
11,a10,2016-01-26 10:44:57
11,a11,2016-01-26 11:17:29
11,a9,2016-01-26 15:02:48
11,a12,2016-01-27 09:25:38
11,a13,2016-01-27 09:25:38
12,a1,2016-01-01 16:00:01
12,a2,2016-01-01 16:00:01
12,a3,2016-01-01 16:01:36
12,a4,2016-01-02 14:40:57
12,a5,2016-01-02 14:45:25
12,a6,2016-01-02 14:45:26
12,a7,2016-01-02 14:46:43
12,a14,2016-01-02 14:46:43
12,a8,2016-01-02 14:46:43
12,a20,2016-02-02 07:00:36
12,a18,2016-02-02 07:00:36
13,a1,2016-01-01 16:22:50
13,a2,2016-01-01 16:22:50
13,a3,2016-01-01 16:23:36
13,a4,2016-01-02 09:52:01
13,a5,2016-01-02 09:55:46
13,a6,2016-01-02 09:55:47
13,a7,2016-01-02 09:59:50
13,a8,2016-01-02 09:59:50
13,a9,2016-01-08 09:55:33
13,a10,2016-01-08 10:00:24
13,a11,2016-01-08 15:20:19
13,a9,2016-01-11 08:54:35
13,a12,2016-01-11 09:42:07
13,a13,2016-01-11 09:42:07
13,a17,2016-01-11 09:42:07
14,a1,2016-01-01 16:58:48
14,a2,2016-01-01 16:58:48
14,a3,2016-01-01 16:59:29
14,a4,2016-01-02 15:25:13
14,a5,2016-01-02 15:33:53
14,a6,2016-01-02 15:33:55
14,a5,2016-01-02 15:34:17
14,a6,2016-01-02 15:34:18
14,a7,2016-01-02 15:34:32
14,a7,2016-01-02 15:34:32
14,a14,2016-01-02 15:34:32
14,a8,2016-01-02 15:34:32
14,a5,2016-01-29 09:37:02
14,a6,2016-01-29 09:37:03
14,a7,2016-01-29 09:37:20
14,a20,2016-02-29 07:01:02
14,a18,2016-02-29 07:01:02
14,a18,2016-02-29 07:01:02
14,a18,2016-02-29 07:01:02
15,a1,2016-01-01 17:04:16
